time	 Flung	 Palv	 Pel	 Pmus	 Vabs	 Vti	 Vte	 Vt	 Vtmax	 PCO2	 SCO2	 VCO2	 Pao	 Fip	 Fop	 stateP
0	 0.18	 0.010799999999999699	 0.010799999999999699	 0	 2.50054	 0.00054	 0	 0.00054	 0.00054	 0	 0	 0	 0	 0.03	 0.18	 1
0.003	 0.32373824999999995	 0.03022429499999646	 0.03022429499999646	 0	 2.50151121475	 0.00151121475	 0	 0.00151121475	 0.00151121475	 0	 0	 0	 0.9107999999999996	 0.05499999999999999	 0.32373824999999995	 1
0.006	 0.4393696547296875	 0.05658647428377961	 0.05658647428377961	 0	 2.502829323714189	 0.0028293237141890624	 0	 0.0028293237141890624	 0.0028293237141890624	 0	 0	 0	 1.6489155449999962	 0.07583333333333332	 0.4393696547296875	 1
0.009000000000000001	 0.5329157167384979	 0.08856141728808886	 0.08856141728808886	 0	 2.5044280708644044	 0.004428070864404556	 0	 0.004428070864404556	 0.004428070864404556	 0	 0	 0	 2.253434747932217	 0.09319444444444444	 0.5329157167384979	 1
0.012	 0.6089211396280073	 0.1250966856657687	 0.1250966856657687	 0	 2.5062548342832884	 0.006254834283288577	 0	 0.006254834283288577	 0.006254834283288577	 0	 0	 0	 2.7531400009805784	 0.10766203703703703	 0.6089211396280073	 1
0.015	 0.6708762371374045	 0.1653492598940165	 0.1653492598940165	 0	 2.508267462994701	 0.00826746299470079	 0	 0.00826746299470079	 0.00826746299470079	 0	 0	 0	 3.1697023838058054	 0.11971836419753086	 0.6708762371374045	 1
0.018	 0.7214994597999328	 0.20863922748200814	 0.20863922748200814	 0	 2.5104319613741004	 0.010431961374100589	 0	 0.010431961374100589	 0.010431961374100589	 0	 0	 0	 3.519730445581039	 0.12976530349794238	 0.7214994597999328	 1
0.020999999999999998	 0.7629324519166059	 0.2544151745970069	 0.2544151745970069	 0	 2.5127207587298503	 0.012720758729850406	 0	 0.012720758729850406	 0.012720758729850406	 0	 0	 0	 3.8161365264816722	 0.13813775291495198	 0.7629324519166059	 1
0.023999999999999997	 0.7968783478221505	 0.30222787546633434	 0.30222787546633434	 0	 2.5151113937733167	 0.015111393773316857	 0	 0.015111393773316857	 0.015111393773316857	 0	 0	 0	 4.069077434180036	 0.1451147940957933	 0.7968783478221505	 1
0.026999999999999996	 0.8247020716392668	 0.35170999976468664	 0.35170999976468664	 0	 2.5175854999882343	 0.017585499988234658	 0	 0.017585499988234658	 0.017585499988234658	 0	 0	 0	 4.286619614577087	 0.15092899507982777	 0.8247020716392668	 1
0.029999999999999995	 0.8475045124538845	 0.402560270511918	 0.402560270511918	 0	 2.520128013525596	 0.020128013525596313	 0	 0.020128013525596313	 0.020128013525596313	 0	 0	 0	 4.475220357961021	 0.15577416256652313	 0.8475045124538845	 1
0.032999999999999995	 0.8661783128851217	 0.45453096928502745	 0.45453096928502745	 0	 2.5227265484642514	 0.022726548464251678	 0	 0.022726548464251678	 0.022726548464251678	 0	 0	 0	 4.64008283278134	 0.15981180213876928	 0.8661783128851217	 1
0.036	 0.8814504471187051	 0.5074179961121494	 0.5074179961121494	 0	 2.5253708998056075	 0.025370899805607795	 0	 0.025370899805607795	 0.025370899805607795	 0	 0	 0	 4.785422533710636	 0.16317650178230772	 0.8814504471187051	 1
0.039	 0.893915131394374	 0.5610529039958134	 0.5610529039958134	 0	 2.5280526451997907	 0.028052645199790918	 0	 0.028052645199790918	 0.028052645199790918	 0	 0	 0	 4.914670231705675	 0.1659804181519231	 0.893915131394374	 1
0.042	 0.9040595428105258	 0.615296476564442	 0.615296476564442	 0	 2.530764823828222	 0.030764823828222494	 0	 0.030764823828222494	 0.030764823828222494	 0	 0	 0	 5.030628560967683	 0.16831701512660258	 0.9040595428105258	 1
0.045000000000000005	 0.9122841093904712	 0.6700335231278665	 0.6700335231278665	 0	 2.5335016761563933	 0.033501676156393906	 0	 0.033501676156393906	 0.033501676156393906	 0	 0	 0	 5.135594190617071	 0.1702641792721688	 0.9122841093904712	 1
0.04800000000000001	 0.9189186484269748	 0.7251686420334823	 0.7251686420334823	 0	 2.536258432101674	 0.03625843210167483	 0	 0.03625843210167483	 0.03625843210167483	 0	 0	 0	 5.231454070080223	 0.17188681606014067	 0.9189186484269748	 1
0.05100000000000001	 0.9242352927696766	 0.7806227595996605	 0.7806227595996605	 0	 2.539031137979983	 0.03903113797998386	 0	 0.03903113797998386	 0.03903113797998386	 0	 0	 0	 5.319761884168356	 0.17323901338345055	 0.9242352927696766	 1
0.05400000000000001	 0.9284589064995696	 0.8363302939896312	 0.8363302939896312	 0	 2.5418165146994816	 0.04181651469948257	 0	 0.04181651469948257	 0.04181651469948257	 0	 0	 0	 5.401799223448044	 0.1743658444862088	 0.9284589064995696	 1
0.057000000000000016	 0.9317755205302994	 0.8922368252214509	 0.8922368252214509	 0	 2.5446118412610725	 0.04461184126107347	 0	 0.04461184126107347	 0.04461184126107347	 0	 0	 0	 5.478624826487479	 0.17530487040517398	 0.9317755205302994	 1
0.06000000000000002	 0.9343391942356631	 0.94829717687559	 0.94829717687559	 0	 2.5474148588437795	 0.04741485884378046	 0	 0.04741485884378046	 0.04741485884378046	 0	 0	 0	 5.551114427872948	 0.17608739200431164	 0.9343391942356631	 1
0.06300000000000001	 0.9362776173285525	 1.0044738339153003	 1.0044738339153003	 0	 2.550223691695765	 0.05022369169576612	 0	 0.05022369169576612	 0.05022369169576612	 0	 0	 0	 5.619993148053906	 0.17673949333692637	 0.9362776173285525	 1
